,Date,Venue,Time,MatchID,Competition,Grouping,Format,Tie,TieDescr,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG,AETHG,AETAG,PENHG,PENAG,FORM,MatchRemarks,Note,FormPen,GScorers(Info),MOTM,HalfLength
"This dataset was collated and compiled by AlliNewsNigeria.
Dataset contains basic details of major football matches played by the Male Team of the Obafemi Awolowo University between 2006-2022. 
Please refer to the metadata attached to this dataset and saved as a *.txt document for background information on the dataset.
This dataset may be missing some parts so, kindly send a mail to allinewsnigeria@gmail.com to get an updated version.",,,,,,,,,,,,,,,,,,,,,,,,,,
1,20030000,"Futo, Owerri",-,773855,2nd NUFOL,-,Tournament,Prelims,MD1,OAU,LAUTECH,1,0,1,0,-,-,-,-,W,Approved,"Ex-Super Eagles player, Seyi Olofinjana, played for lautech.",,,-,
2,20030000,"Futo, Owerri",-,952508,2nd NUFOL,-,Tournament,Prelims,MD2,OAU,FUTA,3,1,5,2,-,-,-,-,W,Approved,,,,-,
3,20030000,"Buk, Kano",-,693075,2nd NUFOL,-,Tournament,Round 2,MD3,OAU,UNN,0,0,0,0,-,-,-,-,D,Approved,,,,-,
4,20030000,"Buk, Kano",-,657312,2nd NUFOL,-,Tournament,Round 2,MD4,OAU,FUTO,1,1,2,1,-,-,-,-,W,Approved,,,,-,
5,20030000,"Unilag, Lagos",-,387287,2nd NUFOL,-,Tournament,SF,MD5,OAU,ABU,1,1,1,2,-,-,-,-,L,Approved,,,,-,
6,20030000,-,-,516262,2nd NUFOL,-,Tournament,3rd Place,MD6,OAU,UNILAG,0,0,0,1,-,-,-,-,L,Approved,"ABU emerged eventual winners, Oau finished 4th",,,-,
7,20040000,Benin,-,563037,3rd NUFOL,-,Tournament,Prelims,MD1,OAU,LAUTECH,0,0,3,0,-,-,-,-,W,Approved,Water logged pitch conditions,,,,
8,20040000,Benin,-,793575,3rd NUFOL,-,Tournament,Prelims,MD2,OAU,UNIPORT,0,0,0,1,-,-,-,-,L,Approved,BUK eventual winners. Oau knocked out at zonal prelims in Benin.,,,,
9,20040000,Eksu,-,669888,2004 PreNUGA,-,-,-,-,EKSU,OAU,0,0,0,0,-,-,-,-,-,Abandoned,The match was heading towards a draw when a controversial penalty was awarded about 3mins to the ned of the game. A replay was offered but Oau declined.,,,,
10,20050000,Igbinedion University Okada town,-,366438,4th NUFOL,-,Tournament,Zonal,MD1,OAU,FUTMUBI,1,0,2,0,-,-,-,-,W,Approved,Opponent might have had a name change.,,,,
11,20050000,Igbinedion University Okada town,-,700535,4th NUFOL,-,Tournament,Zonal,MD2,OAU,BUK,1,0,1,0,-,-,-,-,W,Approved,Oau beat former champions Buk,,,,
12,20050000,Igbinedion University Okada town,-,540983,4th NUFOL,-,Tournament,Zonal,MD3,OAU,ABU,2,0,2,0,-,-,-,-,W,Approved,Oau beat defending champions Abu,,,,
13,20050000,Igbinedion University Okada town,-,560271,4th NUFOL,-,Tournament,SF,MD4,OAU,UNIMAID,0,0,4,0,-,-,-,-,W,Approved,,,,,
14,20050000,Igbinedion University Okada town,-,554226,4th NUFOL,-,Tournament,Final,MD5,OAU,OOU,1,0,2,1,-,-,-,-,W,Approved,OAU emerged winners,,,,
15,20061200,"Ilorin, Kwara",-,570102,2006 PreNUGA,Zonal Elimination,Knockout,SF,Round 1,OAU,LAUTECH,0,1,1,1,-,-,3,5,D,Approved,Won on Penalties,W,,-,
16,20061200,"Ilorin, Kwara",-,445551,2006 PreNUGA,Zonal Elimination,Knockout,Final,Round 2,OAU,UNILORIN,0,1,1,1,-,-,-,-,-,Inconclusive,Unilorin (DQ) were disqualified for violent conduct & were Oau awarded the tie,-,,-,
17,20070200,Maiduguri,-,918704,2014 NUGA Games (Unimaid 2007),A,Cup,Group,MD1,UNIMAID,OAU,0,1,0,1,-,-,-,-,W,Approved,,,Bina (1sthalf),-,
18,20070200,Maiduguri,-,681225,2014 NUGA Games (Unimaid 2007),A,Cup,Group,MD2,OAU,FUTYOLA,0,0,0,0,-,-,-,-,D,Approved,"AwayTeam now known as Modibbo Adama University of Technology, Yola",,,-,
19,20070200,Maiduguri,-,967288,2014 NUGA Games (Unimaid 2007),A,Cup,Group,MD3,AAU,OAU,-,-,0,3,-,-,-,-,W,Approved,"AAU (WO). AAU, Ekpoma didn't show up",,,-,
20,20070200,Maiduguri,-,575888,2014 NUGA Games (Unimaid 2007),A,Cup,QF,MD4,OAU,UNIUYO,0,0,0,0,-,-,4,2,D,Approved,Won on Penalties,W,,-,
21,20070200,Maiduguri,-,832457,2014 NUGA Games (Unimaid 2007),A,Cup,SF,MD5,ABU,OAU,0,0,0,0,-,-,4,5,D,Approved,Won on Penalties,W,,-,
