Year,Venue,CompGroup,Competition,Team,Opponent,FTTG,FTOG,FTR,HTTG,HTOG,HTR,SHTG,SHOG,SHR
2010,"OAU Sports Complex, Ile-Ife",PreNUGA,2010 PreNUGA,OAU Giants,UNILORIN ,2,0,W,1,0,W,1,0,W
2010,"OAU Sports Complex, Ile-Ife",PreNUGA,2010 PreNUGA,OAU Giants,ACHIEVERS,2,0,W,1,0,W,1,0,W
2014,"OAU Sports Complex, Ile-Ife",NUGA Games,2014 NUGA Games (Oau 2014),OAU Giants,EKSU,4,1,W,2,0,W,2,1,W
2014,"OAU Sports Complex, Ile-Ife",NUGA Games,2014 NUGA Games (Oau 2014),OAU Giants,UNICAL,1,1,D,0,1,L,1,0,W
2014,"OAU Sports Complex, Ile-Ife",NUGA Games,2014 NUGA Games (Oau 2014),OAU Giants,NDU,2,1,W,1,0,W,1,1,D
2014,"OAU Sports Complex, Ile-Ife",NUGA Games,2014 NUGA Games (Oau 2014),OAU Giants,UNILAG,2,1,W,1,0,W,1,1,D
2014,"OAU Sports Complex, Ile-Ife",NUGA Games,2014 NUGA Games (Oau 2014),OAU Giants,UNICAL,1,0,W,0,0,D,1,0,W
2018,"OAU Sports Complex, Ile-Ife",HiFL,2018 Higher Institutions' Football League,OAU Giants,UI Pioneers,3,0,W,2,0,W,1,0,W
2018,"OAU Sports Complex, Ile-Ife",HiFL,2018 Higher Institutions' Football League,OAU Giants,UAM Tillers,5,3,W,2,2,D,3,1,W
2019,"OAU Sports Complex, Ile-Ife",Peace Cup,Prof. Adedoyin Peace Cup,OAU Giants,Successful Christian Mission FC,0,0,D,0,0,D,0,0,D
2019,"OAU Sports Complex, Ile-Ife",HiFL,2019 Higher Institutions' Football League,OAU Giants,UI Pioneers,2,0,W,2,0,W,0,0,D
2019,"OAU Sports Complex, Ile-Ife",HiFL,2019 Higher Institutions' Football League,OAU Giants,LASU Blazers,2,0,W,0,0,D,2,0,W
2019,"OAU Sports Complex, Ile-Ife",HiFL,2019 Higher Institutions' Football League,OAU Giants,UAM Tillers,1,1,D,0,0,D,1,1,D
2021,"OAU Sports Complex, Ile-Ife",HiFL,2021 Higher Institutions' Football League,OAU Giants,AAUA Luminaries,1,1,D,0,0,D,1,1,D
2022,"OAU Sports Complex, Ile-Ife",PreNUGA,2022 PreNUGA,OAU Giants,AAUA,1,0,W,1,0,W,0,0,D
2022,"OAU Sports Complex, Ile-Ife",PreNUGA,2022 PreNUGA,OAU Giants,FUTA,1,0,W,0,0,D,1,0,W
