,Date,Time,Venue,CompGroup,CompID,Competition,Tie,TieDescr,MatchID,HomeTeam,AwayTeam,HTHG,HTAG,HTR,FTHG,FTAG,FTR,PENHG,PENAG,PSHTR,MatchRemarks,Note,GScorers(Info),MOTM
0,20030000,,"Futo, Owerri",NUFOL Games,29539,2nd NUFOL,Prelims,MD1,773855,OAU Giants,LAUTECH,1,0,W,1,0,W,0,0,nan,Approved,"Ex-Super Eagles player, Seyi Olofinjana, played for lautech.",,
1,20030000,,"Futo, Owerri",NUFOL Games,29539,2nd NUFOL,Prelims,MD2,952508,OAU Giants,FUTA,3,1,W,5,2,W,0,0,nan,Approved,,,
2,20030000,,"Buk, Kano",NUFOL Games,29539,2nd NUFOL,Round 2,MD3,693075,OAU Giants,UNN,0,0,D,0,0,D,0,0,nan,Approved,,,
3,20030000,,"Buk, Kano",NUFOL Games,29539,2nd NUFOL,Round 2,MD4,657312,OAU Giants,FUTO,1,1,D,2,1,W,0,0,nan,Approved,,,
4,20030000,,"Unilag, Lagos",NUFOL Games,29539,2nd NUFOL,SF,MD5,387287,OAU Giants,ABU,1,1,D,1,2,L,0,0,nan,Approved,,,
5,20030000,,"Unilag, Lagos",NUFOL Games,29539,2nd NUFOL,3rd Place,MD6,516262,OAU Giants,UNILAG,0,0,D,0,1,L,0,0,nan,Approved,"ABU emerged eventual winners, Oau finished 4th",,
6,20040000,,Benin,NUFOL Games,29539,3rd NUFOL,Prelims,MD1,563037,OAU Giants,LAUTECH,0,0,D,3,0,W,0,0,nan,Approved,Water logged pitch conditions,,
7,20040000,,Benin,NUFOL Games,29539,3rd NUFOL,Prelims,MD2,793575,OAU Giants,UNIPORT,0,0,D,0,1,L,0,0,nan,Approved,BUK eventual winners. Oau knocked out at zonal prelims in Benin.,,
8,20050000,,Igbinedion University Okada town,NUFOL Games,29539,4th NUFOL,Zonal,MD1,366438,OAU Giants,FUTMUBI,1,0,W,2,0,W,0,0,nan,Approved,Opponent might have had a name change.,,
9,20050000,,Igbinedion University Okada town,NUFOL Games,29539,4th NUFOL,Zonal,MD2,700535,OAU Giants,BUK,1,0,W,1,0,W,0,0,nan,Approved,Oau beat former champions Buk,,
10,20050000,,Igbinedion University Okada town,NUFOL Games,29539,4th NUFOL,Zonal,MD3,540983,OAU Giants,ABU,2,0,W,2,0,W,0,0,nan,Approved,Oau beat defending champions Abu,,
11,20050000,,Igbinedion University Okada town,NUFOL Games,29539,4th NUFOL,SF,MD4,560271,OAU Giants,UNIMAID,0,0,D,4,0,W,0,0,nan,Approved,,,
12,20050000,,Igbinedion University Okada town,NUFOL Games,29539,4th NUFOL,Final,MD5,554226,OAU Giants,OOU,1,0,W,2,1,W,0,0,nan,Approved,OAU emerged winners,,
13,20061200,,"Ilorin, Kwara",PreNUGA,29108,2006 PreNUGA,SF,Round 1,570102,OAU Giants,LAUTECH,0,1,L,1,1,D,3,5,L,Approved,Won on Penalties,,
14,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),Group,MD1,918704,UNIMAID,OAU Giants,0,1,W,0,1,W,0,0,nan,Approved,,Bina (1sthalf),
15,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),Group,MD2,681225,OAU Giants,FUTYOLA,0,0,D,0,0,D,0,0,nan,Approved,"AwayTeam now known as Modibbo Adama University of Technology, Yola",,
16,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),Group,MD3,967288,AAU,OAU Giants,0,0,D,0,3,W,0,0,nan,Walkover,"AAU (WO). AAU, Ekpoma didn't show up",,
17,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),QF,MD4,575888,OAU Giants,UNIUYO,0,0,D,0,0,D,4,2,W,Approved,Won on Penalties,,
18,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),SF,MD5,832457,ABU,OAU Giants,0,0,D,0,0,D,4,5,W,Approved,Won on Penalties,,
19,20070200,,Maiduguri,NUGA Games,29200,2007 NUGA Games (Unimaid 2007),Final,MD6,392016,OAU Giants,UNIMAID,0,1,L,0,1,L,0,0,nan,Approved,,,
